Kategori,Israil,Filistin,Savaş Öncesi (2019),Savaş Sonrası (2023-2024),Notlar
Petrol Tuketimi,2.5 milyon varil/gun,0,0,%30 artis,"Israil askeri operasyonlari sirasinda petrol tuketimini %30 artirdi. Tanklar, ucaklar ve lojistik araclar bu tuketimin buyuk kismini olusturuyor."
Cevher ve Mineral Kullanimi,1.2 milyon ton/yil,0,0,%40 dusus,"Filistin'de madencilik faaliyetleri savas nedeniyle durma noktasina geldi, %40 azalma yasandi."
Mali Harcamalar (Savas),55.6 milyar USD,3.2 milyar USD (2023 sonu),0,1.5 milyar USD,Israil'in savasa ayirdigi butce 55.6 milyar dolar. Filistin altyapi tahribatindan dolayi 3.2 milyar dolar zarar etti.
Karbon Salinimi,0,500 bin ton CO₂ (120 gunde),0,500 bin ton CO₂ (120 gunde),"Savasin ilk 120 gununde uretilen karbon emisyonlari, 36 ulkenin yillik emisyonundan fazla. Israil’in askeri faaliyetleri, bomba ve ucak yakiti kaynakli buyuk karbon salinimina neden oldu."
Temiz Suya Erisim,0,"4,500,000 kisi","4,300,000 kisi","200,000 kisi (Gazze)",Su altyapisindaki ciddi hasar nedeniyle Filistin’de suya erisim buyuk olcude azaldi.
Hijyen Durumu,0,"3,000,000 kisi","3,150,000 kisi","1,350,000 kisi (Gazze)","Temizlik malzemelerine erisim yetersiz kaldi, hijyenik kosullar buyuk oranda bozuldu."
Egitime Erisim (Okullasma Orani),0,"3,400,000 ogrenci","3,250,000 ogrenci","1,020,000 ogrenci",Egitim altyapisi savas nedeniyle ciddi oranda zarar gordu.
Yiyecek Kaynaklarina Erisim,0,"2,700,000 kisi","3,100,000 kisi","900,000 kisi","Gida yardimlari yetersiz kaliyor, aclik buyuk bir kriz haline geldi."
Issizlik Orani,0,"2,300,000 kisi issiz","2,000,000 kisi","3,100,000 kisi issiz","Issizlik orani %60’a yukseldi, is gucu piyasasinda buyuk sorunlar var."
Saglik Hizmetlerine Erisim,0,"2,500,000 kisi","3,225,000 kisi","1,050,000 kisi","Hastaneler tahrip olmus, tibbi malzeme eksiklikleri saglik hizmetlerini durma noktasina getirmistir."
Elektrik Kesintileri (Gunluk),0,"16 saat/gun (2,700,000 kisi)",4 saat/gun,"1,400,000 kisi tam kesinti","Elektrik eksikligi altyapiyi ve temel hizmetleri durdurdu, elektrik ihtiyaci %80 karsilanamiyor."
Gida Guvensizligi,0,"3,400,000 kisi","2,500,000 kisi","2,880,000 kisi",Multecilerin temel gida maddelerine erisiminde buyuk zorluklar yasaniyor.
Multeci Sayisi,0,"5,800,000 kisi","5,400,000 kisi","6,000,000 kisi","Evlerinden zorla cikarilan multeciler, kamplarda kotu kosullarda yasiyor."
Psikolojik Rahatsizliklar,0,"4,750,000 kisi",0,%30 oraninda artis,"Israil'de travmatik olaylardan sonra PTSD vakalari %29'a kadar yukseldi, Gazze'de ise %30 oraninda buyuk bir artis goruldu."
Topluma Entegrasyon,0,0,0,%40 oraninda uyum sorunu,Multecilerin topluma entegrasyonunda dil ve kulturel farkliliklar engel teskil ediyor.
Koordinatlar,"31.4117257, 35.0818155","31.898043, 35.204269",,,
